date,home_team,away_team,country,country_full_home,country_full_away,neutral,rank_diff,point_diff,point_increase_home,point_increase_away,score_diff,home_won,lati_cn_home,long_cn_home,lati_cn_away,long_cn_away,rest_days
1993-04-18,Canada,Honduras,Canada,Canada,Honduras,0,17.0,-7.0,25.0,32.0,2.0,1,0.0,0.0,40.930367,20.104866,7.0
1993-04-18,Indonesia,Singapore,Qatar,Indonesia,Singapore,1,19.0,-4.0,9.0,13.0,-2.0,-1,26.144101,62.737443000000006,24.002743,52.635952,14.0
1993-04-18,Japan,United Arab Emirates,Japan,Japan,United Arab Emirates,0,7.0,-3.0,22.0,25.0,2.0,1,0.0,0.0,12.780748000000004,84.40510600000002,7.0
1993-04-18,Mexico,El Salvador,Mexico,Mexico,El Salvador,0,-25.0,15.0,43.0,28.0,2.0,1,0.0,0.0,9.840316,13.656254000000004,7.0
1993-04-18,Morocco,Senegal,Morocco,Morocco,Senegal,0,-10.0,5.0,32.0,27.0,1.0,1,0.0,0.0,17.294301,7.359742000000001,14.0
1993-04-18,Thailand,Bangladesh,Japan,Thailand,Bangladesh,1,-58.0,15.0,18.0,3.0,3.0,1,20.334792,37.260383,12.519830000000002,47.89659300000001,14.0
1993-04-24,Indonesia,Qatar,Singapore,Indonesia,Qatar,1,56.0,-18.0,9.0,27.0,-3.0,-1,2.141358,10.10149100000001,24.002743,52.635952,6.0
1993-04-25,Cyprus,Faroe Islands,Cyprus,Cyprus,Faroe Islands,0,-22.0,8.0,20.0,12.0,2.0,1,0.0,0.0,26.766222,40.341665,14.0
1993-04-25,Honduras,El Salvador,Honduras,Honduras,El Salvador,0,-10.0,4.0,32.0,28.0,2.0,1,0.0,0.0,1.4058139999999997,2.654624999999996,14.0
1993-04-25,Mexico,Canada,Mexico,Mexico,Canada,0,-32.0,18.0,43.0,25.0,4.0,1,0.0,0.0,32.495865,3.793987000000001,7.0
1993-04-28,Bulgaria,Finland,Bulgaria,Bulgaria,Finland,0,-18.0,10.0,41.0,31.0,2.0,1,0.0,0.0,19.190227,0.262321,14.0
1993-04-28,England,Netherlands,England,England,Netherlands,0,-2.0,1.0,55.0,54.0,0.0,0,0.0,0.0,0.2228670000000008,6.465566,14.0
1993-04-28,France,Sweden,France,France,Sweden,0,15.0,-10.0,46.0,56.0,1.0,1,0.0,0.0,13.900523,16.429752,14.0
1993-04-28,Republic of Ireland,Denmark,Republic of Ireland,Republic of Ireland,Denmark,0,-3.0,2.0,54.0,52.0,0.0,0,0.0,0.0,2.8510100000000023,17.745675,14.0
1993-04-28,Norway,Turkey,Norway,Norway,Turkey,0,-28.0,18.0,49.0,31.0,2.0,1,0.0,0.0,21.508278999999995,26.774376,14.0
1993-04-28,Poland,San Marino,Poland,Poland,San Marino,0,-106.0,42.0,46.0,4.0,1.0,1,0.0,0.0,7.977077999999999,6.687359000000001,14.0
1993-04-28,Portugal,Scotland,Portugal,Portugal,Scotland,0,10.0,-5.0,38.0,43.0,5.0,1,0.0,0.0,17.090827999999995,4.021853999999999,14.0
1993-04-28,Russia,Hungary,Russia,Russia,Hungary,0,-28.0,16.0,52.0,36.0,3.0,1,0.0,0.0,14.361515999999996,85.815452,14.0
1993-04-28,Spain,Northern Ireland,Spain,Spain,Northern Ireland,0,-28.0,18.0,49.0,31.0,2.0,1,0.0,0.0,14.324033,2.74308,14.0
1993-04-28,Thailand,Japan,United Arab Emirates,Thailand,Japan,1,9.0,-4.0,18.0,22.0,-1.0,-1,7.554043999999999,47.144723000000006,12.780748000000004,84.40510600000002,10.0
1993-04-30,Bangladesh,Japan,United Arab Emirates,Bangladesh,Japan,1,67.0,-19.0,3.0,22.0,-3.0,-1,0.2609180000000002,36.508513,12.780748000000004,84.40510600000002,14.0
1993-04-30,Singapore,Qatar,Singapore,Singapore,Qatar,0,37.0,-14.0,13.0,27.0,1.0,1,0.0,0.0,24.002743,52.635952,14.0
1993-04-30,United Arab Emirates,Thailand,United Arab Emirates,United Arab Emirates,Thailand,0,-16.0,7.0,25.0,18.0,1.0,1,0.0,0.0,7.554043999999999,47.144723000000006,14.0
1993-05-01,Malaysia,Kuwait,Malaysia,Malaysia,Kuwait,0,20.0,-8.0,13.0,21.0,0.0,0,0.0,0.0,25.101176,54.49399999999999,14.0
1993-05-01,Switzerland,Italy,Switzerland,Switzerland,Italy,0,10.0,-6.0,51.0,57.0,1.0,1,0.0,0.0,4.946247999999997,4.339867999999999,14.0
1993-05-02,El Salvador,Canada,El Salvador,El Salvador,Canada,0,-7.0,3.0,28.0,25.0,-1.0,-1,0.0,0.0,42.336181,17.450241000000005,14.0
1993-05-02,Guinea,Zimbabwe,Guinea,Guinea,Zimbabwe,0,9.0,-3.0,24.0,27.0,3.0,1,0.0,0.0,28.961025,38.851502,14.0
1993-05-02,Honduras,Mexico,Honduras,Honduras,Mexico,0,15.0,-11.0,32.0,43.0,-3.0,-1,0.0,0.0,8.434502,16.310879,7.0
1993-05-02,Singapore,Indonesia,Singapore,Singapore,Indonesia,0,-19.0,4.0,13.0,9.0,1.0,1,0.0,0.0,2.141358,10.10149100000001,2.0
1993-05-03,Malaysia,Saudi Arabia,Malaysia,Malaysia,Saudi Arabia,0,43.0,-15.0,13.0,28.0,0.0,0,0.0,0.0,19.675458,56.896604,2.0
1993-05-03,United Arab Emirates,Bangladesh,United Arab Emirates,United Arab Emirates,Bangladesh,0,-74.0,22.0,25.0,3.0,7.0,1,0.0,0.0,0.2609180000000002,36.508513,3.0
1993-05-05,Bangladesh,Thailand,United Arab Emirates,Bangladesh,Thailand,1,58.0,-15.0,3.0,18.0,-3.0,-1,0.2609180000000002,36.508513,7.554043999999999,47.144723000000006,5.0
1993-05-05,Kuwait,Saudi Arabia,Malaysia,Kuwait,Saudi Arabia,1,23.0,-7.0,21.0,28.0,0.0,0,25.101176,54.49399999999999,19.675458,56.896604,14.0
1993-05-07,Hong Kong,Bahrain,Lebanon,Hong Kong,Bahrain,1,31.0,-8.0,5.0,13.0,1.0,1,11.458292999999998,78.247212,7.924306999999999,14.775486999999998,14.0
